sElectionAbbr	lDistTypeHndl	szDistrictTypeOfficialDesc	lDistrictHndl	lParentDistHndl	sElecDistrictID	iElecSubDistrict	szElecDistrictName
2014June3 	42	Census Tract District (2010)	1352		ZT-897	0	2010 CT - 5112
2014June3 	42	Census Tract District (2010)	1353		ZT-898	0	2010 CT - 5113.01
2014June3 	42	Census Tract District (2010)	1354		ZT-899	0	2010 CT - 5113.02
2014June3 	42	Census Tract District (2010)	1355		ZT-900	0	2010 CT - 5114
2014June3 	42	Census Tract District (2010)	1356		ZT-901	0	2010 CT - 5115
2014June3 	42	Census Tract District (2010)	1357		ZT-902	0	2010 CT - 5116.08
2014June3 	42	Census Tract District (2010)	1358		ZT-903	0	2010 CT - 5116.09
2014June3 	42	Census Tract District (2010)	1359		ZT-904	0	2010 CT - 5117.01
2014June3 	42	Census Tract District (2010)	1360		ZT-905	0	2010 CT - 5117.02
2014June3 	42	Census Tract District (2010)	1361		ZT-906	0	2010 CT - 5117.04
2014June3 	42	Census Tract District (2010)	1362		ZT-907	0	2010 CT - 5117.05
2014June3 	42	Census Tract District (2010)	1363		ZT-908	0	2010 CT - 5117.07
2014June3 	42	Census Tract District (2010)	1364		ZT-909	0	2010 CT - 5118
2014June3 	42	Census Tract District (2010)	1365		ZT-910	0	2010 CT - 5119.05
2014June3 	42	Census Tract District (2010)	1366		ZT-911	0	2010 CT - 5119.07
2014June3 	42	Census Tract District (2010)	1367		ZT-912	0	2010 CT - 5119.09
2014June3 	42	Census Tract District (2010)	1368		ZT-913	0	2010 CT - 5119.10
2014June3 	42	Census Tract District (2010)	1369		ZT-914	0	2010 CT - 5119.11
2014June3 	42	Census Tract District (2010)	1370		ZT-915	0	2010 CT - 5119.12
2014June3 	42	Census Tract District (2010)	1371		ZT-916	0	2010 CT - 5119.13
2014June3 	42	Census Tract District (2010)	1372		ZT-917	0	2010 CT - 5119.14
2014June3 	42	Census Tract District (2010)	1373		ZT-918	0	2010 CT - 5119.15
2014June3 	42	Census Tract District (2010)	1374		ZT-919	0	2010 CT - 5119.16
2014June3 	42	Census Tract District (2010)	1375		ZT-920	0	2010 CT - 5120.01
2014June3 	42	Census Tract District (2010)	1376		ZT-921	0	2010 CT - 5120.05
